"id_cliente";"n_polizas_tomador_ahorro";"n_polizas_tomador_autos";"n_polizas_tomador_jubilacion";"n_polizas_tomador_jubilacion_golf";"n_polizas_tomador_no_vida";"n_polizas_tomador_rc";"n_polizas_tomador_rentas";"n_polizas_tomador_riesgo_tomador";"n_polizas_tomador_vida_riesgo";"n_polizas_tomador_vida_riesgo_pm";"n_polizas_tomador_no_vida"
220;0;0;0;0;0;0;0;0;0;0;0
221;0;3;0;0;0;0;0;0;0;0;0
222;2;0;0;0;0;0;0;0;0;0;0
223;2;0;0;0;0;0;0;0;0;0;0
224;2;0;0;0;0;0;0;0;0;0;0
225;0;5;0;0;0;0;0;0;0;0;0
226;7;0;0;0;0;0;0;0;0;0;0
227;0;0;0;0;1;0;0;0;0;0;1
228;2;0;0;0;0;0;0;0;0;0;0
229;0;0;0;0;1;0;0;0;0;0;1
230;0;0;0;0;2;0;0;0;0;0;2
231;1;0;0;0;0;0;0;0;0;0;0
232;0;0;0;0;1;0;0;0;0;0;1
233;0;0;0;0;1;0;0;0;0;0;1
234;2;0;0;0;0;0;0;0;0;0;0
235;0;0;0;0;0;0;0;0;0;0;0
236;2;0;0;0;1;0;0;0;0;1;1
237;0;0;0;0;1;0;0;0;0;0;1
238;1;0;0;0;0;0;0;0;0;0;0
239;1;0;0;0;3;0;0;0;0;0;3
240;0;0;0;0;1;0;0;0;0;0;1
241;1;0;0;0;0;0;0;0;0;0;0
242;1;0;0;0;0;0;0;0;0;0;0
243;0;0;0;0;1;0;0;0;0;0;1
244;1;0;0;0;1;0;0;0;0;0;1
245;1;0;0;0;0;0;0;0;0;1;0
246;5;0;0;0;3;0;0;0;0;0;3
247;0;0;0;0;1;0;0;0;0;0;1
248;2;0;0;0;0;0;0;0;0;0;0
249;3;0;0;0;1;0;0;0;0;0;1
250;1;0;0;0;0;0;0;0;0;0;0
251;4;0;1;1;0;0;0;0;0;0;0
252;3;0;1;0;1;0;2;0;0;1;1
253;1;0;0;0;0;0;0;0;0;0;0
254;1;0;0;0;3;0;0;0;0;0;3
255;1;0;0;0;0;0;0;0;0;1;0
256;1;0;0;0;0;0;0;0;0;0;0
257;1;0;0;0;0;0;0;0;0;0;0
258;0;0;0;0;1;0;0;0;0;0;1
259;6;0;0;0;1;0;0;0;0;0;1
260;0;0;0;0;1;0;0;0;0;0;1
261;4;0;0;0;2;0;1;2;0;0;2
262;0;0;0;0;2;0;0;0;0;0;2
263;1;0;0;0;0;0;0;0;0;0;0
264;7;0;0;0;0;0;0;0;0;0;0
265;0;0;0;0;1;0;0;0;0;0;1
266;3;0;0;0;1;0;0;2;0;0;1
267;4;0;0;0;2;0;0;0;0;0;2
268;0;0;0;0;1;0;0;0;0;0;1
269;2;0;0;0;0;0;0;0;0;0;0
270;0;0;0;0;1;0;0;0;0;0;1
271;2;0;0;0;0;0;0;0;0;0;0
272;2;0;0;0;0;0;0;0;0;0;0
273;3;0;0;0;0;0;0;0;0;0;0
274;0;0;0;0;0;0;0;0;0;0;0
275;0;0;0;0;0;0;0;0;0;0;0
276;1;0;0;0;1;0;0;0;0;1;1
277;1;0;0;0;0;0;0;0;0;0;0
278;2;0;0;0;0;0;0;0;0;0;0
279;3;0;0;2;1;0;0;0;0;0;1
280;2;0;0;0;0;0;0;0;0;0;0
281;4;0;0;0;0;0;0;0;0;0;0
282;6;0;0;0;1;0;0;0;0;0;1
283;0;0;0;0;0;0;1;0;0;0;0
284;0;0;0;0;0;0;0;0;0;0;0
285;5;0;0;0;0;0;1;0;0;1;0
286;0;0;0;0;1;0;0;0;0;0;1
287;0;0;0;0;1;0;0;0;0;0;1
288;2;0;0;0;0;0;0;0;0;0;0
289;3;0;0;0;0;0;0;0;0;0;0
290;3;0;0;0;1;0;0;0;0;0;1
291;0;0;0;0;1;0;0;0;0;0;1
292;0;0;0;0;1;0;0;0;0;0;1
293;0;0;0;0;1;0;0;0;0;0;1
294;1;0;0;0;0;0;0;0;0;0;0
295;2;0;0;0;0;0;0;0;0;0;0
296;0;0;0;0;1;0;0;0;0;0;1
297;0;0;0;0;2;0;0;0;0;0;2
298;0;0;0;0;1;0;0;0;0;0;1
299;0;0;0;0;1;0;0;0;0;0;1
300;1;0;0;0;0;0;0;0;0;0;0
301;2;0;0;0;1;0;0;0;0;0;1
302;1;0;0;0;0;0;0;0;0;0;0
303;0;3;0;0;0;0;0;0;0;0;0
304;0;0;0;0;0;0;0;0;0;1;0
305;0;1;0;0;0;0;0;0;0;0;0
306;1;0;0;0;0;0;0;0;0;0;0
307;2;0;0;0;1;0;0;0;0;0;1
308;0;0;0;0;2;0;0;0;0;0;2
309;0;0;1;0;0;0;0;0;0;0;0
310;5;0;1;2;0;0;0;0;0;0;0
311;0;0;0;0;1;0;0;0;0;0;1
