"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
267;"H";"C";"parcial";"Ahorro"
268;"M";"S";"total";"No_vida"
269;"M";"";"total";"Ahorro"
270;"H";"S";"nunca";"No_vida"
271;"M";"C";"parcial";"Ahorro"
272;"M";"";"parcial";"Ahorro"
273;"M";"V";"parcial";"Ahorro"
274;"H";"";"nunca";"Vida_Riesgo"
275;"H";"C";"nunca";"Vida_Riesgo"
276;"M";"C";"parcial";"Ahorro"
277;"M";"S";"nunca";"Ahorro"
278;"M";"";"total";"Ahorro"
279;"H";"C";"parcial";"No_vida"
280;"H";"";"total";"Ahorro"
281;"M";"";"parcial";"Ahorro"
282;"H";"C";"parcial";"Vida_Riesgo"
283;"M";"C";"nunca";"Rentas"
284;"H";"C";"total";"Vida_Riesgo"
285;"H";"C";"parcial";"Ahorro"
286;"H";"C";"nunca";"No_vida"
287;"H";"C";"total";"No_vida"
288;"M";"C";"total";"Ahorro"
289;"H";"";"parcial";"Vida_Riesgo"
290;"H";"C";"parcial";"Ahorro"
291;"M";"S";"nunca";"No_vida"
292;"M";"S";"nunca";"No_vida"
293;"H";"";"nunca";"Vida_Riesgo"
294;"M";"";"nunca";"Ahorro"
295;"M";"";"total";"Ahorro"
296;"M";"S";"total";"No_vida"
297;"H";"S";"parcial";"No_vida"
298;"M";"S";"nunca";"No_vida"
299;"M";"S";"total";"No_vida"
300;"H";"";"nunca";"Ahorro"
301;"M";"C";"parcial";"No_vida"
302;"M";"C";"total";"Ahorro"
303;"H";"";"total";"Autos"
304;"M";"C";"total";"Vida_Riesgo_PM"
305;"M";"S";"total";"Autos"
306;"M";"C";"nunca";"Ahorro"
307;"M";"C";"parcial";"No_vida"
308;"M";"";"total";"No_vida"
309;"H";"C";"nunca";"Jubilacion"
310;"H";"C";"nunca";"Jubilacion_GOLF"
311;"M";"S";"total";"No_vida"
312;"M";"C";"parcial";"No_vida"
313;"M";"";"nunca";"Ahorro"
314;"H";"C";"total";"Ahorro"
315;"H";"C";"parcial";"Ahorro"
316;"H";"S";"nunca";"No_vida"
317;"H";"S";"parcial";"Autos"
318;"H";"D";"nunca";"No_vida"
319;"M";"";"nunca";"No_vida"
320;"M";"C";"nunca";"Ahorro"
321;"M";"C";"parcial";"No_vida"
322;"M";"C";"fallecido";"Ahorro"
323;"H";"D";"total";"No_vida"
324;"M";"C";"nunca";"Ahorro"
325;"H";"C";"fallecido";"Ahorro"
326;"H";"C";"nunca";"Vida_Riesgo"
327;"M";"";"nunca";"Autos"
328;"M";"C";"nunca";"Ahorro"
329;"H";"S";"nunca";"No_vida"
330;"H";"";"total";"Autos"
331;"H";"S";"nunca";"No_vida"
332;"H";"S";"nunca";"No_vida"
333;"H";"C";"parcial";"Ahorro"
334;"M";"";"total";"Ahorro"
335;"M";"";"nunca";"No_vida"
336;"H";"S";"total";"No_vida"
337;"H";"C";"nunca";"Ahorro"
